source_node	target_node	Source Node Attribute	Target Node Attribute
1DRZ-B	1DRZ-A	lncRNA	protein
1VOS-A	1VOS-M	lncRNA	protein
1VOX-A	1VOX-K	lncRNA	protein
1VOX-A	1VOX-J	lncRNA	protein
1VOQ-A	1VOQ-F	lncRNA	protein
1VOX-A	1VOX-I	lncRNA	protein
1VOS-A	1VOS-L	lncRNA	protein
1VOX-A	1VOX-G	lncRNA	protein
1VOV-A	1VOV-Q	lncRNA	protein
1PNS-A	1PNS-R	lncRNA	protein
1PNS-A	1PNS-T	lncRNA	protein
1VOQ-A	1VOQ-N	lncRNA	protein
1VOZ-A	1VOZ-Q	lncRNA	protein
1VOX-A	1VOX-S	lncRNA	protein
1VOZ-A	1VOZ-A	lncRNA	protein
1VOS-A	1VOS-P	lncRNA	protein
1VOX-A	1VOX-C	lncRNA	protein
1VOX-A	1VOX-H	lncRNA	protein
1VOQ-A	1VOQ-B	lncRNA	protein
1VOS-A	1VOS-O	lncRNA	protein
1VOV-A	1VOV-E	lncRNA	protein
1VOS-A	1VOS-D	lncRNA	protein
2OM7-H	2OM7-L	lncRNA	protein
2WWB-F	2WWB-A	lncRNA	protein
2WWA-F	2WWA-N	lncRNA	protein
2WWB-F	2WWB-K	lncRNA	protein
2WW9-F	2WW9-O	lncRNA	protein
2WW9-F	2WW9-I	lncRNA	protein
2WWB-F	2WWB-J	lncRNA	protein
2R93-R	2R93-B	lncRNA	protein
2R93-R	2R93-A	lncRNA	protein
1VFG-C	1VFG-A	lncRNA	protein
1EMI-B	1EMI-A	lncRNA	protein
1JBT-C	1JBT-A	lncRNA	protein
1PNY-9	1PNY-X	lncRNA	protein
1PNY-9	1PNY-D	lncRNA	protein
1PNY-9	1PNY-U	lncRNA	protein
1PNU-9	1PNU-K	lncRNA	protein
1PNY-9	1PNY-K	lncRNA	protein
1PNY-9	1PNY-M	lncRNA	protein
1PNY-9	1PNY-T	lncRNA	protein
1EC6-C	1EC6-B	lncRNA	protein
1F8V-R	1F8V-C	lncRNA	protein
1F8V-R	1F8V-E	lncRNA	protein
3I1T-A	3I1T-N	lncRNA	protein
3I22-A	3I22-Q	lncRNA	protein
3I1P-A	3I1P-Z	lncRNA	protein
3E1B-B	3E1B-Z	lncRNA	protein
2WWQ-B	2WWQ-D	lncRNA	protein
3I1T-A	3I1T-E	lncRNA	protein
2WWQ-B	2WWQ-G	lncRNA	protein
3FIK-B	3FIK-F	lncRNA	protein
3E1B-B	3E1B-4	lncRNA	protein
3E1B-B	3E1B-T	lncRNA	protein
2WWQ-B	2WWQ-T	lncRNA	protein
2WWQ-B	2WWQ-Y	lncRNA	protein
3I1P-A	3I1P-D	lncRNA	protein
